normalized,raw,tag,definition_fr
ABERDEEN,Aberdéen,obsolete,"Ancienne graphie d'Aberdeen, ville portuaire d'Écosse."
ABOMEY,Abomey,dated,"1) Abomey : ville du sud du Bénin, ancienne capitale du royaume du Dahomey. 2) Par extension, désignation ancienne du Dahomey, l'actuel Bénin."
ABSCONSER,absconser,archaic,"Ancienne forme du verbe abscondre, qui signifie cacher, dissimuler."
ACAL,ACAL,acronym,"Alsace-Champagne-Ardenne-Lorraine, nom porté par la grande région française née de la fusion de l'Alsace, de la Champagne-Ardenne et de la Lorraine, avant l'adoption du nom définitif de Grand Est."
ACCOUSTUMER,accoustumer,obsolete,"Ancienne orthographe du verbe accoutumer, qui signifie habituer."
ACHAEMENIDE,achæménide,archaic,"Graphie ancienne de achéménide, relatif à la dynastie perse des Achéménides."
ACHERON,Achéron,obsolete,"1) Achéron : fleuve des Enfers dans la mythologie grecque, que les âmes des morts devaient traverser. 2) Par extension, la mort ou le royaume des morts."
ACOLE,acolé,obsolete,"Ancienne orthographe de accolé, participe passé du verbe accoler, au sens de placé côte à côte ou enlacé."
ADHOC,ADHOC,acronym,"Association pour les droits de l'homme et le développement au Cambodge, organisation cambodgienne de défense des droits humains."
AEAEA,Ææa,archaic,"Ancienne graphie du nom de l'île mythique d'Aeaea, séjour de la magicienne Circé dans l'Odyssée d'Homère, également employée comme épithète de figures liées à cette légende, telles que Circé ou Calypso."
AEAQUE,Æaque,archaic,"Ancienne orthographe de Éaque, fils de Zeus qui devint l'un des juges des Enfers dans la mythologie grecque."
AEGEE,ægée,archaic,"Ancienne orthographe de l'adjectif égéen, relatif à la mer Égée."
AEGINE,Ægine,archaic,"Ancienne orthographe d'Égine, île grecque du golfe Saronique."
AEGYPTE,Ægypte,archaic,Ancienne orthographe du nom propre Égypte.
AEGYPTIEN,ægyptien,archaic,"Ancienne orthographe de l'adjectif égyptien, relatif à l'Égypte."
AEGYPTIENNE,ægyptienne,archaic,Forme féminine singulier ancienne de l'adjectif égyptien.
AEGYPTIENNES,ægyptiennes,archaic,Forme féminine pluriel ancienne de l'adjectif égyptien.
AEGYPTIENS,ægyptiens,archaic,Forme masculine pluriel ancienne de l'adjectif égyptien.
AENEIDE,Ænéide,archaic,"Ancienne graphie de Énéide, le poème épique latin de Virgile consacré au héros troyen Énée."
AEOLIE,Æolie,obsolete,"Ancienne graphie de Éolie, contrée associée dans la mythologie grecque à Éole, maître des vents."
AEQUE,Æque,archaic,"Ancienne graphie de Èque, nom donné à un membre du peuple italique antique des Èques, installé dans les montagnes à l'est de Rome."
AESOPE,Æsope,obsolete,"Ancienne graphie d'Ésope, fabuliste grec de l'Antiquité auquel de nombreuses fables sont attribuées."
