term_normalized,sense_rank,pos,gender,definition,source
AALBORG,1,N,,"Ville du nord du Danemark, chef-lieu de la région administrative du Jutland-du-Nord.",kaikki
AAR,1,N,f,"Rivière de Suisse, le plus long affluent du Rhin, aussi orthographiée Aare.",kaikki
AARAU,1,N,,"Commune du nord de la Suisse, chef-lieu du canton d'Argovie.",kaikki
AARON,1,N,m,"Personnage de la Bible, frère aîné de Moïse et premier grand prêtre des Hébreux.",kaikki
AARON,2,N,m,Prénom masculin d'origine hébraïque.,kaikki
AAST,1,N,,"Petite commune française du département des Pyrénées-Atlantiques, en Nouvelle-Aquitaine.",kaikki
ABAINVILLE,1,N,,"Petite commune française du département de la Meuse, en Grand Est.",kaikki
ABANCOURT,1,N,,"Nom porté par plusieurs communes françaises, notamment dans le Nord et dans l'Oise.",kaikki
ABBARETZ,1,N,,"Commune française du département de la Loire-Atlantique, en Pays de la Loire.",kaikki
ABBECOURT,1,N,,"Petite commune française du département de l'Aisne, en Hauts-de-France.",kaikki
ABBENANS,1,N,,"Petite commune française du département du Doubs, en Bourgogne-Franche-Comté.",kaikki
ABBEVILLE,1,N,,"Ville et commune française du département de la Somme, en Hauts-de-France.",kaikki
ABBY,1,N,f,Prénom féminin.,kaikki
ABDALLAH,1,N,,"Prénom masculin et nom de famille répandus dans le monde arabophone, signifiant « serviteur de Dieu ».",kaikki
ABDELKRIM,1,N,m,"Prénom masculin arabe, notamment porté par Abd el-Krim el-Khattabi, meneur de la révolte du Rif contre l'Espagne et la France dans les années 1920.",kaikki
ABDESLAM,1,N,,"Prénom masculin et nom de famille d'origine arabe, formé sur As-Salam, l'un des noms de Dieu en islam.",kaikki
ABDIAS,1,N,m,"Personnage de la Bible, l'un des douze petits prophètes, auquel est rattaché le plus bref livre de l'Ancien Testament.",kaikki
ABDOUL,1,N,m,"Prénom masculin d'origine arabe, équivalent de l'anglais Abdul.",kaikki
ABDOULAYE,1,N,m,"Prénom masculin d'origine arabe, très répandu en Afrique de l'Ouest musulmane.",kaikki
ABDOULLA,1,N,m,"Prénom masculin d'origine arabe, équivalent de l'anglais Abdullah.",kaikki
ABEAU,1,N,m,"Prénom masculin ancien, variante très rare d'Abel.",kaikki
ABEL,1,N,m,"Personnage de la Genèse, second fils d'Adam et Ève, tué par son frère aîné Caïn.",kaikki
ABEL,2,N,m,"Prénom masculin, à l'origine diminutif d'Abeau ou d'Abelin.",kaikki
ABELARD,1,N,m,"Pierre Abélard (1079-1142), philosophe, logicien et théologien français, resté célèbre pour sa liaison avec Héloïse.",kaikki
ABELARD,2,N,m,Prénom masculin.,kaikki
ABELIN,1,N,m,"Prénom masculin ancien, diminutif d'Abel.",kaikki
ABELIN,2,N,m,Nom de famille formé sur ce prénom.,kaikki
ABELONE,1,N,f,Prénom féminin.,kaikki
ABERDEEN,1,N,f,Ville portuaire d'Écosse.,kaikki
ABIDJAN,1,N,f,"Plus grande ville et capitale économique de la Côte d'Ivoire, sur le golfe de Guinée.",kaikki
ABITBOL,1,N,,Patronyme d'origine arabe.,kaikki
ABITEBOUL,1,N,,Patronyme d'origine arabe.,kaikki
ABITIBI,1,N,f,"Région du nord-ouest du Québec, au Canada, et nom d'une municipalité régionale de comté de l'Abitibi-Témiscamingue.",kaikki
ABKHAZIE,1,N,f,"Territoire du Caucase bordant la mer Noire, à l'indépendance autoproclamée mais presque pas reconnue, tenu par la communauté internationale pour une partie de la Géorgie.",kaikki
ABLON,1,N,,"Commune française du Calvados, en Normandie.",kaikki
ABLON,2,N,,"Ancien nom d'Ablon-sur-Seine, dans le Val-de-Marne.",kaikki
ABLON,3,N,,Nom de famille.,kaikki
ABLONS,1,N,f,"Ancienne graphie d'Ablon, devenue Ablon-sur-Seine, commune du Val-de-Marne.",kaikki
ABOMEY,1,N,,"Ville du sud du Bénin, ancienne capitale du royaume du Dahomey.",kaikki
ABOMEY,2,N,,"Par extension, désignation ancienne du Dahomey, l'actuel Bénin.",kaikki
ABOU,1,N,m,Prénom masculin et nom de famille répandus dans le monde arabophone et en Afrique de l'Ouest.,kaikki
ABOUBACAR,1,N,m,Prénom masculin.,kaikki
ABOUKIR,1,N,,"Localité et baie d'Égypte proches d'Alexandrie, théâtre de la destruction de la flotte française par Nelson en 1798 et d'une victoire terrestre de Bonaparte en 1799.",kaikki
ABRAHAM,1,N,m,"Patriarche de la Bible, tenu pour l'ancêtre commun des juifs et des Arabes et figure majeure des trois monothéismes.",kaikki
ABRAHAM,2,N,m,Prénom masculin.,kaikki
ABRUZZES,1,N,f,"Région administrative du centre de l'Italie, ouverte sur l'Adriatique.",kaikki
ABRUZZES,2,N,f,Massif de la chaîne des Apennins qui la traverse.,kaikki
ABSALOM,1,N,m,"Personnage de la Bible, fils du roi David, tué après s'être soulevé contre son père.",kaikki
ABSALON,1,N,m,"Forme du nom biblique Absalom, fils rebelle du roi David, également porté comme prénom.",kaikki
ABSCONSER,1,V,,"Ancienne forme du verbe abscondre, qui signifie cacher, dissimuler.",kaikki
ABYSSINIE,1,N,f,"Ancien nom de l'Éthiopie, empire d'Afrique de l'Est, employé comme exonyme jusqu'au milieu du XXe siècle.",kaikki
ACADIANA,1,N,m,"Région officielle du sud de la Louisiane, aux États-Unis, cœur de la culture cadienne francophone.",kaikki
ACADIE,1,N,f,"Contrée idéale et mythique de l'Antiquité, transposition de l'Arcadie pastorale.",kaikki
ACADIE,2,N,f,"Ancienne colonie française d'Amérique du Nord, sur les côtes de l'actuel est du Canada et du nord-est des États-Unis.",kaikki
ACAL,1,N,,"Alsace-Champagne-Ardenne-Lorraine, nom porté par la grande région française née de la fusion de l'Alsace, de la Champagne-Ardenne et de la Lorraine, avant l'adoption du nom définitif de Grand Est.",kaikki
ACARNANIE,1,N,f,"Région historique de l'ouest de la Grèce, face aux îles Ioniennes.",kaikki
ACC,1,N,f,Sigle de l'Alliance pour la conscience citoyenne.,kaikki
ACCOUS,1,N,m,"Commune française des Pyrénées-Atlantiques, dans la vallée d'Aspe, en Nouvelle-Aquitaine.",kaikki
ACCOUSTUMER,1,V,,"Ancienne orthographe du verbe accoutumer, qui signifie habituer.",kaikki
ACEUM,1,N,m,"Sigle de l'Accord Canada–États-Unis–Mexique, traité de libre-échange nord-américain qui a succédé à l'ALENA en 2020.",kaikki
ACHAB,1,N,,"Roi d'Israël dans la Bible, époux de Jézabel et adversaire du prophète Élie.",kaikki
ACHACHE,1,N,,Patronyme d'origine arabe.,kaikki
ACHAEMENIDE,1,Adj,,"Graphie ancienne de achéménide, relatif à la dynastie perse des Achéménides.",kaikki
ACHAIE,1,N,f,"Région du nord du Péloponnèse, en Grèce, dont le nom fut aussi celui d'une province romaine.",kaikki
ACHEMENES,1,N,m,Ancêtre éponyme et fondateur légendaire de la dynastie perse des Achéménides.,kaikki
ACHERON,1,N,m,"Fleuve des Enfers dans la mythologie grecque, que les âmes des morts devaient traverser.",kaikki
ACHERON,2,N,m,"Par extension, la mort ou le royaume des morts.",kaikki
ACHILLE,1,N,m,"Héros grec de la guerre de Troie dans l'Iliade, réputé invulnérable sauf au talon.",kaikki
ACHILLE,2,N,m,Prénom masculin d'origine grecque.,kaikki
ACOLE,1,Adj,,"Ancienne orthographe de accolé, participe passé du verbe accoler, au sens de placé côte à côte ou enlacé.",kaikki
ACOUA,1,N,f,"Commune française du département de Mayotte, dans le nord de l'île.",kaikki
ACS,1,N,m,"Sigle de l'Automobile Club de Suisse, association nationale d'automobilistes.",kaikki
ACTEON,1,N,m,"Chasseur de la mythologie grecque, petit-fils de Cadmos, changé en cerf par Artémis puis dévoré par sa propre meute.",kaikki
